id_prest_boca_atencion;d_prest_boca_atencion;id_prest_prestador;d_prest_calle;n_prest_puerta;c_prest_piso_depto;c_prest_cp4;n_prest_boca_x;n_prest_boca_y;c_geog_prest_boca_loc;d_geog_prest_boca_loc;c_geog_prest_boca_dpto;d_geog_prest_boca_dpto;c_geog_prest_boca_pcia;d_geog_prest_boca_pcia;m_prest_habilitado
7.037;ZUNINO NESTOR;352.093;MONSEÑOR MARCOL;2875;;1.754;-58,5698070408;-34,6834327347;20.720.297;SAN JUSTO;2.072;PTDO. MATANZA;2;BUENOS AIRES;S
7.038;LABORATORIO GOLDARACENA ;535.698;DR. BARAJA ;419 ;;8.504;-62,9636640000;-40,8008860000;20.820.012;CARMEN DE PATAGONES;2.082;PTDO. PATAGONES;2;BUENOS AIRES;S
7.039;IGLESIAS  MARIA ISABEL;1.169.812;CASTELLI;57;;7.109;0,0000000000;0,0000000000;21.240.068;MAR DE AJO DEL NORTE;2.124;MUNICIPIO URBANO DE LA COSTA;2;BUENOS AIRES;N
7.040;LABORATORIO HOSP  ESPAÑOL ;535.698;ESTOMBA ;571 ;;8.000;-62,2717477143;-38,7138567143;20.070.011;BAHIA BLANCA;2.007;PTDO. BAHIA BLANCA;2;BUENOS AIRES;S
7.041;VIVIANA GONZALEZ - CONSULTORIO 1;1.075.664;LARROQUE;1205;;1.828;-58,4119843878;-34,7433162857;20.660.025;BANFIELD;2.066;PTDO. LOMAS DE ZAMORA;2;BUENOS AIRES;S
7.042;PROTAS JORGE;352.093;MADRID;3168;;1.765;-58,5791723333;-34,7036536667;20.720.084;ISIDRO CASANOVA;2.072;PTDO. MATANZA;2;BUENOS AIRES;S
7.043;SILVIA E MENDEZ;1.075.664;AVDA CENTENARIO URUGUAYO;1399;;1.824;0,0000000000;0,0000000000;20.580.014;LANUS;2.058;PTDO. LANUS;2;BUENOS AIRES;S
7.044;LABORATORIO HOSP  GLASMAN ;535.698;PATRICIOS; 347 ;;8.001;-62,2770894286;-38,7174339592;20.070.011;BAHIA BLANCA;2.007;PTDO. BAHIA BLANCA;2;BUENOS AIRES;S
7.045;ABC (DR. NELLEM JORGE);352.093;LAS HERAS;28;;1.704;-58,5578472449;-34,6407315102;20.720.149;RAMOS MEJIA;2.072;PTDO. MATANZA;2;BUENOS AIRES;S
7.046;ELENA BOIANO;1.075.664;URIARTE;858;;1.826;-58,4047210000;-34,7345015714;20.660.025;BANFIELD;2.066;PTDO. LOMAS DE ZAMORA;2;BUENOS AIRES;S
7.047;LABORATORIO HOSP  PRIVADO DEL SUR ;535.698;LAS HERAS ;164 ;;8.001;-62,2601296327;-38,7193650612;20.070.011;BAHIA BLANCA;2.007;PTDO. BAHIA BLANCA;2;BUENOS AIRES;S
7.048;ISNARDI VIRGINIA TERESA;1.169.812;64;3181;;7.630;-58,7443432449;-38,5545908571;20.790.011;NECOCHEA;2.079;PTDO. NECOCHEA;2;BUENOS AIRES;S
7.049;CARRI GASTON;1.075.664;R BRAVO Y GOWLAND;S/N;;1.849;0,0000000000;0,0000000000;20.030.031;CLAYPOLE;2.003;PTDO. ALMIRANTE BROWN;2;BUENOS AIRES;N
7.050;LABORATORIO MOSE ;535.698;COMODORO RIVADAVIA ;122 ;;8.504;-62,9636640000;-40,8008860000;20.820.012;CARMEN DE PATAGONES;2.082;PTDO. PATAGONES;2;BUENOS AIRES;S
7.051;VERONICA ALDAZABAL;1.075.664;MAIPU;700;;1.828;-58,3854490000;-34,7445100000;20.660.025;BANFIELD;2.066;PTDO. LOMAS DE ZAMORA;2;BUENOS AIRES;S
7.052;L.A.C. ;535.698;MORENO Y SAENZ PEÑA ;S/N ;;7.530;-61,3666670000;-37,9666670000;20.250.019;CORONEL PRINGLES;2.025;PTDO. CORONEL PRINGLES;2;BUENOS AIRES;S
7.053;ITURRALDE  JOSE LUIS;1.169.812;LETAMENDI;437;;7.203;-59,0872814490;-36,7726461020;20.910.011;RAUCH;2.091;PTDO. RAUCH;2;BUENOS AIRES;N
7.054;DANIEL CABEZAS;1.075.664;25 DE MAYO;375;;1.834;-58,4015767959;-34,7793744898;20.660.271;TEMPERLEY;2.066;PTDO. LOMAS DE ZAMORA;2;BUENOS AIRES;S
7.055;L.A.C.I. ;535.698;UNDIANO ;48 ;;8.000;-62,2595444167;-38,7244994167;20.070.011;BAHIA BLANCA;2.007;PTDO. BAHIA BLANCA;2;BUENOS AIRES;S
7.056;REGGIANI VIVIANA I;1.075.664;PRAVAZ;184;;1.804;-58,5186912653;-34,8510774082;21.310.030;EZEIZA;2.131;PTDO. EZEIZA;2;BUENOS AIRES;N
7.057;JORGE RAMIREZ;1.075.664;GARIBALDI;176;;1.832;-58,4004948980;-34,7697014286;20.660.271;TEMPERLEY;2.066;PTDO. LOMAS DE ZAMORA;2;BUENOS AIRES;S
7.058;CONTINO J / SANJINES E.;1.075.664;PASO DE LA PATRIA;377;;1.804;-58,5186912653;-34,8510774082;21.310.030;EZEIZA;2.131;PTDO. EZEIZA;2;BUENOS AIRES;S
7.059;DANIEL GANCEDO;1.075.664;SALTA;445;;1.846;0,0000000000;0,0000000000;20.660.271;TEMPERLEY;2.066;PTDO. LOMAS DE ZAMORA;2;BUENOS AIRES;S
7.060;J.GAVARRINO A   PARODI  F GAVARRI;1.169.812;60;3199;;7.630;-58,7425440000;-38,5561680000;20.790.011;NECOCHEA;2.079;PTDO. NECOCHEA;2;BUENOS AIRES;N
7.061;BUSTOS MARIA F;1.075.664;BRAGADO;6250;;1.870;0,0000000000;0,0000000000;20.040.011;AVELLANEDA;2.004;PTDO. AVELLANEDA;2;BUENOS AIRES;N
7.062;LUIS PENNA;1.075.664;LAPRIDA;1084;;1.832;-58,4117750000;-34,7595936667;20.660.017;LOMAS DE ZAMORA;2.066;PTDO. LOMAS DE ZAMORA;2;BUENOS AIRES;S
7.063;PATRICIA RODRIGUEZ - CONSULTORIO 2;1.075.664;VIRGEN DE ITATI;1195;;1.828;-58,4384365306;-34,7247820000;20.660.025;BANFIELD;2.066;PTDO. LOMAS DE ZAMORA;2;BUENOS AIRES;S
7.064;CURTO OMAR ;1.174.949;DE LOS TRITONES ;89;;7.167;-56,8596290000;-37,1200470000;21.260.044;PINAMAR;2.126;MUNICIPIO URBANO DE PINAMAR;2;BUENOS AIRES;S
7.065;ADRIANA MARITATO;1.075.664;LORIA;846;;1.832;-58,4090075714;-34,7623515510;20.660.017;LOMAS DE ZAMORA;2.066;PTDO. LOMAS DE ZAMORA;2;BUENOS AIRES;S
7.066;LAMPON  EDUARDO ;535.698;8 Y 28 ;S/N ;;7.540;-61,9333330000;-37,4666670000;20.260.015;CORONEL SUAREZ;2.026;PTDO. CORONEL SUAREZ;2;BUENOS AIRES;S
7.067;LANZ  ROBERTO ;535.698;SIMINI ;825 ;;6.400;-62,7333330000;-35,9666670000;21.120.019;TRENQUE LAUQUEN;2.112;PTDO. TRENQUE LAUQUEN;2;BUENOS AIRES;S
7.068;"BENITEZ SILVIA TERESITA
";1.169.812;AV.4 E/PASEO 113 Y 114;00;;7.165;-56,9665950000;-37,2522511429;21.270.024;VILLA GESELL;2.127;MUNICIPIO URBANO VILLA GESELL;2;BUENOS AIRES;S
7.069;LAPENTA  SUSANA ;535.698;GARIBALDI ;421 ;;7.540;-61,9371434694;-37,4567327347;20.260.015;CORONEL SUAREZ;2.026;PTDO. CORONEL SUAREZ;2;BUENOS AIRES;S
7.070;DELMIRA GOTTA;1.075.664;JUAN XXIII;564;;1.832;-58,4401275000;-34,7701770000;20.660.017;LOMAS DE ZAMORA;2.066;PTDO. LOMAS DE ZAMORA;2;BUENOS AIRES;S
7.071;MEDICO DE CABECERA;5.006.281;LAS HERAS ;420;;5.561;-69,1333330000;-33,3666670000;130.180.049;TUPUNGATO;13.018;DEPTO. TUPUNGATO;13;MENDOZA;S
7.072;KATZMAN  ROSA C.  CONSULTORIO 2;1.169.812;PEJERREY;1305;;7.167;-56,9869815000;-37,2793735000;21.260.044;PINAMAR;2.126;MUNICIPIO URBANO DE PINAMAR;2;BUENOS AIRES;S
7.073;ANALIA ALICIA FABBRO;1.075.664;LAPRIDA BIS;668;;1.832;-58,4058022857;-34,7604422857;20.660.017;LOMAS DE ZAMORA;2.066;PTDO. LOMAS DE ZAMORA;2;BUENOS AIRES;S
7.074;KRUGER  LUISA E.;1.169.812;51;3080;;7.630;-58,7394230816;-38,5481807143;20.790.011;NECOCHEA;2.079;PTDO. NECOCHEA;2;BUENOS AIRES;N
7.075;MARIA IRIARTE;1.075.664;HIPOLITO YRIGOYEN;8353;;1.832;-58,4004131429;-34,7531898571;20.660.017;LOMAS DE ZAMORA;2.066;PTDO. LOMAS DE ZAMORA;2;BUENOS AIRES;S
7.076;PABLO SIXTO;1.075.664;ALMAFUERTE;391;DPTO 2;1.832;-58,4109417143;-34,7549319184;20.660.017;LOMAS DE ZAMORA;2.066;PTDO. LOMAS DE ZAMORA;2;BUENOS AIRES;S
7.077;LIEBANA  MARIANO ;535.698;DORREGO ;296 ;;7.500;-60,2759446735;-38,3823551020;21.130.015;TRES ARROYOS;2.113;PTDO. TRES ARROYOS;2;BUENOS AIRES;S
7.078;MOISES RASCOVSKY;1.075.664;DIEGO GIBSON;331;;1.836;-58,4171205510;-34,7957057551;20.660.084;LLAVALLOL;2.066;PTDO. LOMAS DE ZAMORA;2;BUENOS AIRES;S
7.079;LABORATORIO  LACAVA Y MAUREL;1.169.812;H. YRIGOYEN;2363;;7.600;-57,5537104898;-38,0035566327;20.470.012;MAR DEL PLATA;2.047;PTDO. GENERAL PUEYRREDON;2;BUENOS AIRES;N
7.080;LOFRANO  HEBE CARINA ;535.698;PERU ;439 ;;8.001;-62,2700177143;-38,7050777143;20.070.011;BAHIA BLANCA;2.007;PTDO. BAHIA BLANCA;2;BUENOS AIRES;S
7.081;MABEL DIAZ;1.075.664;LUZURIAGA;246;;1.836;-58,4304622653;-34,7944788571;20.660.084;LLAVALLOL;2.066;PTDO. LOMAS DE ZAMORA;2;BUENOS AIRES;S
7.082;FRANCISCO ARREGUI - CONSULTORIO 1;1.075.664;DOYHENARD;296;;1.836;-58,4234841429;-34,8011001429;20.660.084;LLAVALLOL;2.066;PTDO. LOMAS DE ZAMORA;2;BUENOS AIRES;S
7.083;LORENZO  SERGIO ;535.698;25 DE MAYO ;273 ;;8.109;-62,0666670000;-38,8833330000;20.230.016;PUNTA ALTA;2.023;PTDO. C.DE M. ROSALES;2;BUENOS AIRES;S
7.084;ALONSO ANIBAL RENE;874.908;LAS HERAS (EX CALLE 71);2023;;1.650;-58,5309337755;-34,5727224082;20.490.198;VILLA MAIPU;2.049;PTDO. GENERAL SAN MARTIN;2;BUENOS AIRES;S
7.085;BOCHICHIO LILIANA MABEL;3.675.854;CONSTITUYENTES;1072;;1.708;-58,6174772857;-34,6457997143;20.770.019;MORON;2.077;PTDO. MORON;2;BUENOS AIRES;S
7.086;LABORATORIO CEDEAC GUEMES S.A.;1.169.812;ROCA;1480;;7.600;-57,5454165102;-38,0184072857;20.470.012;MAR DEL PLATA;2.047;PTDO. GENERAL PUEYRREDON;2;BUENOS AIRES;N
7.087;PEDRO MORELATO;1.075.664;ANTARTIDA ARGENTINA;205;;1.834;-58,4098655714;-34,7908017143;20.660.114;VILLA TURDERA SUR;2.066;PTDO. LOMAS DE ZAMORA;2;BUENOS AIRES;S
7.088;MARTIN  MARIA DEL CARMEN ;535.698;ALEM ;370 ;;6.417;-62,5166670000;-36,7666670000;20.540.051;CASBAS;2.054;PTDO. GUAMINI;2;BUENOS AIRES;S
7.089;D ALOISIO MIRTA SUSANA ;1.172.768;25 DE MAYO  ;124;;7.020;-59,6666670000;-37,6833330000;20.560.011;BENITO JUAREZ;2.056;PTDO. JUAREZ;2;BUENOS AIRES;S
7.090;MARTINEZ  JUAN CARLOS ;535.698;DR  VIÑAS ;451;;8.183;-63,1666670000;-37,7000000000;20.880.045;DARREGUEIRA;2.088;PTDO. PUAN;2;BUENOS AIRES;S
7.091;AHUMADA ERNESTO RENE;3.675.854;ESPAÑA;365;;1.744;-58,7879450816;-34,6466122245;20.760.012;MORENO;2.076;PTDO. MORENO;2;BUENOS AIRES;S
7.092;RICARDINI CARLOS JOSE;1.169.812;18;723;;7.620;-58,2567767500;-37,8494080833;20.080.017;BALCARCE;2.008;PTDO. BALCARCE;2;BUENOS AIRES;N
7.093;MARTINEZ  PABLO ANDRES ;535.698;ALVARADO ;215 ;;8.000;-62,2639958571;-38,7136798571;20.070.011;BAHIA BLANCA;2.007;PTDO. BAHIA BLANCA;2;BUENOS AIRES;S
7.094;MARIA RENART;1.075.664;JOSE HERNANDEZ;185;;1.804;-58,5206088571;-34,8548948571;21.310.030;EZEIZA;2.131;PTDO. EZEIZA;2;BUENOS AIRES;S
7.095;VIOLA ANA MARIA;3.675.854;BUENOS AIRES;580;;1.712;-58,6421340909;-34,6539766364;20.770.027;CASTELAR;2.077;PTDO. MORON;2;BUENOS AIRES;S
7.096;MARTINEZ  RICARDO ;535.698;LAVALLE ;55 ;;8.170;-62,4000000000;-37,6833330000;20.950.017;PIGUE;2.095;PTDO. SAAVEDRA;2;BUENOS AIRES;S
7.097;BARRIOS OMAR ;4.001.011;ROCA ;317;;8.109;-62,0666670000;-38,8833330000;20.230.016;PUNTA ALTA;2.023;PTDO. C.DE M. ROSALES;2;BUENOS AIRES;S
7.098;TORTOSA BAÑON - CONSULTORIO 1;1.075.664;PASO DE LA PATRIA;139;;1.804;-58,5190138333;-34,8538942500;21.310.030;EZEIZA;2.131;PTDO. EZEIZA;2;BUENOS AIRES;S
7.099;LONGO CARLOS;3.675.854;ARIAS;2530;;1.712;-58,6444087143;-34,6511565714;20.770.027;CASTELAR;2.077;PTDO. MORON;2;BUENOS AIRES;S
7.100;PISTORALE GRACIELA BEATRIZ;352.093;AVDA VILLEGAS;145;;1.704;-58,5438764082;-34,6612821429;20.720.149;RAMOS MEJIA;2.072;PTDO. MATANZA;2;BUENOS AIRES;S
7.101;ALONSO HECTOR HORACIO;867.630;PTE. PERON;302;;1.663;-58,6984328824;-34,5519977059;20.500.161;MUÑIZ;2.050;PTDO. SAN MIGUEL;2;BUENOS AIRES;S
7.102;GARCIA LUIS A;3.675.854;ARIAS;2530;;1.712;-58,6444087143;-34,6511565714;20.770.027;CASTELAR;2.077;PTDO. MORON;2;BUENOS AIRES;S
7.103;EDUARDO BARONTINI;1.075.664;CALLE 413;343;;1.846;0,0000000000;0,0000000000;20.030.121;ADROGUE;2.003;PTDO. ALMIRANTE BROWN;2;BUENOS AIRES;S
7.104;D´URBANO SUSANA ;1.174.950;AVDA 23 Y CALLE 20;S/P;;7.607;0,0000000000;0,0000000000;20.360.011;MIRAMAR (PDO. GRAL. ALVARADO);2.036;PTDO. GENERAL ALVARADO;2;BUENOS AIRES;S
7.105;LABORATORIO 25 DE MAYO S.A.;1.169.812;25 DE MAYO;3542;;7.601;-57,5546008776;-37,9933194286;20.470.012;MAR DEL PLATA;2.047;PTDO. GENERAL PUEYRREDON;2;BUENOS AIRES;N
7.106;SARMIENTO FERNANDEZ ANTONIO;3.675.854;ARIAS;2530;;1.712;-58,6444087143;-34,6511565714;20.770.027;CASTELAR;2.077;PTDO. MORON;2;BUENOS AIRES;S
7.107;MARUENDA  IBERIA ;535.698;DORREGO ;583 ;;8.000;-62,2542087143;-38,7196401429;20.070.011;BAHIA BLANCA;2.007;PTDO. BAHIA BLANCA;2;BUENOS AIRES;S
7.108;AVILA HUGO P - ADAMOLI ALBERTO;3.675.854;ARIAS;3237;;1.712;-58,6532641429;-34,6495087143;20.770.027;CASTELAR;2.077;PTDO. MORON;2;BUENOS AIRES;S
7.109;MASECICH  MIRIAM ;535.698;GRAL  PAZ ;175 ;;8.160;-62,2333330000;-38,1000000000;21.110.012;TORNQUIST;2.111;PTDO. TORNQUIST;2;BUENOS AIRES;S
7.110;MULREEDY  NICOLAS;1.075.664;MITRE ESQUINA 49;S/N;;1.846;0,0000000000;0,0000000000;20.030.121;ADROGUE;2.003;PTDO. ALMIRANTE BROWN;2;BUENOS AIRES;S
7.111;LABOR.BIOQUIMICO MAR DEL PLATA;1.169.812;RIVADAVIA;3331;;7.601;-57,5543878571;-37,9967045714;20.470.012;MAR DEL PLATA;2.047;PTDO. GENERAL PUEYRREDON;2;BUENOS AIRES;N
7.112;MASSA  MARIA DEL CARMEN ;535.698;FARO RECALADA ;172 ;;8.153;-61,3000000000;-38,9833330000;21.250.013;MONTE HERMOSO;2.125;MUNICIPIO URBANO MONTE HERMOSO;2;BUENOS AIRES;S
7.113;ALONSO HECTOR OSVALDO ;866.973;AVDA MITRE;3513;"2 "" E""";1.678;-58,5489344286;-34,6158056122;21.140.011;CASEROS (PDO. 3 DE FEBRERO);2.114;PTDO. TRES DE FEBRERO;2;BUENOS AIRES;S
7.114;MARIA LAURA FERNANDEZ;1.075.664;MITRE;1179;;1.846;-58,3912425556;-34,7979921616;20.030.121;ADROGUE;2.003;PTDO. ALMIRANTE BROWN;2;BUENOS AIRES;S
7.115;CILLO JOSE;352.093;AVDA CROVARA;2372;;1.766;-58,5209963333;-34,6877796667;20.720.165;TABLADA;2.072;PTDO. MATANZA;2;BUENOS AIRES;S
7.116;LACOSTE  EDUARDO ROBERTO CONSULTORIO 1;1.169.812;AVDA. 79;320;;7.630;0,0000000000;0,0000000000;20.790.011;NECOCHEA;2.079;PTDO. NECOCHEA;2;BUENOS AIRES;S
7.117;MORRIS MARCOS;3.675.854;MONTES DE OCA;2406;1 - 6;1.712;-58,6419420816;-34,6500741020;20.770.027;CASTELAR;2.077;PTDO. MORON;2;BUENOS AIRES;N
7.118;SANDKOVSKI-KARLINER (DIAGNOSTICO SAN JUSTO S.A.);352.093;MONSEÑOR MARCON;3529;;1.754;0,0000000000;0,0000000000;20.720.297;SAN JUSTO;2.072;PTDO. MATANZA;2;BUENOS AIRES;S
7.119;NORBERTO FERNANDEZ;1.075.664;HIPOLITO YRIGOYEN;410;;1.846;-58,3947867143;-34,8082175510;20.030.121;ADROGUE;2.003;PTDO. ALMIRANTE BROWN;2;BUENOS AIRES;S
7.120;JARNE ANTONIO;3.675.854;SANTA ROSA;1105;;1.712;-58,6567813878;-34,6469027143;20.770.027;CASTELAR;2.077;PTDO. MORON;2;BUENOS AIRES;S
7.121;GRINSPON ALICIA;352.093;MADRID;3181;;1.765;-58,5791937500;-34,7038795000;20.720.084;ISIDRO CASANOVA;2.072;PTDO. MATANZA;2;BUENOS AIRES;S
7.122;VIRGINIA EMILIANI;1.075.664;LAMADRID;444;;1.846;0,0000000000;0,0000000000;20.030.121;ADROGUE;2.003;PTDO. ALMIRANTE BROWN;2;BUENOS AIRES;S
7.123;ALSINA ADOLFO EDUARDO;867.133;LAPRIDA;2399;;1.602;-58,4875470000;-34,5409580000;21.160.065;FLORIDA;2.116;PTDO. VICENTE LOPEZ;2;BUENOS AIRES;S
7.124;LACOSTE  EDUARDO ROBERTO CONSULTORIO 2;1.169.812;61;2519;;7.630;-58,7387374286;-38,5562429592;20.790.011;NECOCHEA;2.079;PTDO. NECOCHEA;2;BUENOS AIRES;S
7.125;RAIMONDO Y OTRO;3.675.854;SANTA ROSA ;1181;;1.712;-58,6566563878;-34,6464039184;20.770.027;CASTELAR;2.077;PTDO. MORON;2;BUENOS AIRES;S
7.126;DIANA DIAZ  SUC (DR. RUBEN RIOS);1.075.664;30 DE SEPTIEMBRE;4896;;1.846;0,0000000000;0,0000000000;20.030.121;ADROGUE;2.003;PTDO. ALMIRANTE BROWN;2;BUENOS AIRES;S
7.127;PEDREIRA ANTONIO;352.093;CARLOS CASARES;663;P 1;1.755;-58,6254180000;-34,6980450000;20.720.131;RAFAEL CASTILLO;2.072;PTDO. MATANZA;2;BUENOS AIRES;S
7.128;GARCIA MONICA A;3.675.854;SANTA ROSA;2477;;1.712;-58,6530361224;-34,6338754898;20.770.027;CASTELAR;2.077;PTDO. MORON;2;BUENOS AIRES;S
7.129;TARRIO OSCAR A;3.675.854;ZAPIOLA;1037;;1.712;-58,6355249091;-34,6504018636;20.770.027;CASTELAR;2.077;PTDO. MORON;2;BUENOS AIRES;S
7.130;ABELLEIDA HORACIO;352.093;MONSEÑOR MARCON;2995;;1.754;0,0000000000;0,0000000000;20.720.297;SAN JUSTO;2.072;PTDO. MATANZA;2;BUENOS AIRES;S
7.131;AMBROSIONI GLORIA DEL VALLE (PEDIATRA);867.972;AVDA SANTA FE;2088;2 D;1.640;-58,4995837347;-34,4904975714;21.020.056;MARTINEZ;2.102;PTDO. SAN ISIDRO;2;BUENOS AIRES;S
7.132;RUBEN ROCATTI;1.075.664;HIPOLITO YRIGOYEN;12946;;1.846;-58,4038830000;-34,8056936667;20.030.121;ADROGUE;2.003;PTDO. ALMIRANTE BROWN;2;BUENOS AIRES;S
7.133;BRAGANTINI GABRIEL;3.675.854;AVDA DE LA UNION;1864;;1.761;-58,6987376327;-34,7482787551;20.740.109;PONTEVEDRA;2.074;PTDO. MERLO;2;BUENOS AIRES;S
7.134;LANDI  GILBERTO LUIS ;1.169.812;GENERAL PAZ ; 221 ;;7.174;-57,7333330000;-37,4500000000;20.710.011;CORONEL VIDAL;2.071;PTDO. MAR CHIQUITA;2;BUENOS AIRES;S
7.135;DELORY ERNESTO;3.675.854;AVDA PATRICIOS;1341;;1.716;0,0000000000;0,0000000000;20.740.061;LIBERTAD;2.074;PTDO. MERLO;2;BUENOS AIRES;S
7.136;LASALA  MARIA G.;1.169.812;64;3181;;7.630;-58,7443432449;-38,5545908571;20.790.011;NECOCHEA;2.079;PTDO. NECOCHEA;2;BUENOS AIRES;S
7.137;LETTIERI  GENARO PEDRO;352.093;AVDA LURO;6150;P 2 DPT B;1.757;0,0000000000;0,0000000000;20.720.092;GREGORIO DE LAFERRERE;2.072;PTDO. MATANZA;2;BUENOS AIRES;S
7.138;OREGLIA MARCELA;3.675.854;AVDA PERON;4855;;1.716;-58,6926954898;-34,6944696735;20.740.061;LIBERTAD;2.074;PTDO. MERLO;2;BUENOS AIRES;S
7.139;CIOTTI HUGO;3.675.854;RUTA 200 KM 39.5;S/N;;1.723;0,0000000000;0,0000000000;20.740.087;MARIANO ACOSTA;2.074;PTDO. MERLO;2;BUENOS AIRES;S
7.140;VICENTE CARDONE;1.075.664;ESPORA;645;;1.846;-58,3882658367;-34,7969324286;20.030.121;ADROGUE;2.003;PTDO. ALMIRANTE BROWN;2;BUENOS AIRES;S
7.141;ANDINO ARTURO JORGE;5.004.637;BETHARRAN;1775;;1.682;-58,5912192449;-34,5882969592;21.140.160;MARTIN CORONADO;2.114;PTDO. TRES DE FEBRERO;2;BUENOS AIRES;S
7.142;BERARDO MARIA LUISA;3.675.854;SUPERY;525;;1.723;-58,7916265102;-34,7253620408;20.740.087;MARIANO ACOSTA;2.074;PTDO. MERLO;2;BUENOS AIRES;S
7.143;BIANCHI ISABEL;352.093;ESPORA;22;;1.704;-58,5613840816;-34,6446237347;20.720.149;RAMOS MEJIA;2.072;PTDO. MATANZA;2;BUENOS AIRES;S
7.144;CIENCIA SRL;1.075.664;SEGUI;593;;1.846;-58,3972685000;-34,8014800000;20.030.121;ADROGUE;2.003;PTDO. ALMIRANTE BROWN;2;BUENOS AIRES;S
7.145;GUERCIO ALBERTO L;3.675.854;MEDRANO;93;;1.714;0,0000000000;0,0000000000;21.360.015;ITUZAINGO;2.136;PTDO. ITUZAINGO;2;BUENOS AIRES;N
7.146;ODONTOLOGO DE CABECERA;5.003.219;ALVEAR;1025;;3.200;-58,0233340000;-31,3906860000;80.030.092;CONCORDIA;8.003;DEPTO. CONCORDIA;8;ENTRE RIOS;S
7.147;CAPELLARI MONICA AIDA ;5.003.425;SEBASTIAN COSTA;385;;8.000;0,0000000000;0,0000000000;20.070.011;BAHIA BLANCA;2.007;PTDO. BAHIA BLANCA;2;BUENOS AIRES;S
7.148;CARRILLO CARLOS MANUEL;3.675.854;OLAZABAL;916;;1.714;0,0000000000;0,0000000000;21.360.015;ITUZAINGO;2.136;PTDO. ITUZAINGO;2;BUENOS AIRES;S
7.149;SILVIA GOLORONS;1.075.664;CANALE Y ECHEVERRIA;S/N;;1.846;0,0000000000;0,0000000000;20.030.066;JOSE MARMOL;2.003;PTDO. ALMIRANTE BROWN;2;BUENOS AIRES;S
7.150;ARBIZU VAZQUEZ ANGEL;5.004.347;RENACIMIENTO;3552;;1.613;0,0000000000;0,0000000000;21.330.083;LOS POLVORINES;2.133;PTDO. MALVINAS ARGENTINAS;2;BUENOS AIRES;S
7.151;ODONTOLOGO DE CABECERA;5.003.218;VELEZ SARFIELD;554;;3.200;-58,0287319167;-31,3938914167;80.030.092;CONCORDIA;8.003;DEPTO. CONCORDIA;8;ENTRE RIOS;S
7.152;GARCIA QUEROL NORBERTO O;3.675.854;BRANDSEN;2159;;1.714;0,0000000000;0,0000000000;21.360.015;ITUZAINGO;2.136;PTDO. ITUZAINGO;2;BUENOS AIRES;N
7.153;DORA VELASCO;1.075.664;CANALE;2802;;1.846;-58,3723690000;-34,7860160000;20.030.066;JOSE MARMOL;2.003;PTDO. ALMIRANTE BROWN;2;BUENOS AIRES;S
7.154;STRIANI OSCAR;352.093;IGNACIO ARIETA;609;;1.754;0,0000000000;0,0000000000;20.720.254;VILLA LUZURIAGA;2.072;PTDO. MATANZA;2;BUENOS AIRES;S
7.155;TALLARICO SILVINA AMALIA;3.675.854;OLAZABAL;916;;1.714;0,0000000000;0,0000000000;21.360.015;ITUZAINGO;2.136;PTDO. ITUZAINGO;2;BUENOS AIRES;N
7.156;ODONTOLOGO DE CABECERA;5.003.217;PELLEGRINI;1041;;3.200;-58,0144416667;-31,3920400000;80.030.092;CONCORDIA;8.003;DEPTO. CONCORDIA;8;ENTRE RIOS;S
7.157;PEDRO PAPALEO - CONSULTORIO 1;1.075.664;CALLE JORGE;3989;;1.846;-58,3563797143;-34,7801337551;20.030.066;JOSE MARMOL;2.003;PTDO. ALMIRANTE BROWN;2;BUENOS AIRES;S
7.158;LEGER ANA MARIA;352.093;PIEDRABUENA;6014;;1.757;-58,5847586923;-34,7482752308;20.720.092;GREGORIO DE LAFERRERE;2.072;PTDO. MATANZA;2;BUENOS AIRES;S
7.159;ALANIZ ENRIQUE;3.675.854;BLAS PARERA;682;;1.714;0,0000000000;0,0000000000;21.360.015;ITUZAINGO;2.136;PTDO. ITUZAINGO;2;BUENOS AIRES;N
7.160;LASTA  MARIA E. ;1.169.812;25 DE MAYO ;3073; P.B.   E;7.601;-57,5495322857;-37,9956854490;20.470.012;MAR DEL PLATA;2.047;PTDO. GENERAL PUEYRREDON;2;BUENOS AIRES;S
7.161;ARCHIPRETE JUAN CARLOS ;867.376;PIO XII ;4755;;1.612;-58,6684236667;-34,5004094444;21.330.121;ADOLFO SOURDEAUX;2.133;PTDO. MALVINAS ARGENTINAS;2;BUENOS AIRES;S
7.162;ANA GIOMMI;1.075.664;ALTAMIRA;1592;;1.847;-58,3604241429;-34,7945293878;20.030.104;RAFAEL CALZADA;2.003;PTDO. ALMIRANTE BROWN;2;BUENOS AIRES;S
7.163;ALEGRIA GRACIELA INES;3.675.854;BRANDSEN;1532;;1.714;0,0000000000;0,0000000000;21.360.015;ITUZAINGO;2.136;PTDO. ITUZAINGO;2;BUENOS AIRES;N
7.164;ODONTOLOGO DE CABECERA;5.003.216;ESTRADA;114;;3.200;-58,0147105000;-31,3942810000;80.030.092;CONCORDIA;8.003;DEPTO. CONCORDIA;8;ENTRE RIOS;S
7.165;TROILO JOSE;352.093;AVDA PROVINCIAS UNIDAS;5421;;1.754;0,0000000000;0,0000000000;20.720.297;SAN JUSTO;2.072;PTDO. MATANZA;2;BUENOS AIRES;S
